number,professor,review
WCOMS4160,"Ramamoorthi, Ravi","One word: run. Despite Feiner's poor reviews I would have much rather had him teach this class than Ravi. Granted, this was his first time, but that doesn't excuse his accent, which seems like some freakish combination of every unintellegible voice in the CS dept (and trust me there are many). He supposedly knows a great deal about computer graphics, but you wouldn't know it from his lectures. The TA had to constantly remind him that the students in the class might not know as much as he did - need I say more? And don't even bother going to office hours. Still, he is a helluva lot more lenient about everything (i.e., extensions) than the TA seemed to be.
Workload:
Unbearable if this isn't your only class, unless you happen to know OpenGL going in. Two ""concept"" homeworks, a final video game project in OpenGL, an in-class midterm and a take-home final."
WCOMS4160,"Ramamoorthi, Ravi","Very competent and very organized. Young, friendly, and approachable. Clear lecturer. The course is fairly difficult, but fun and interesting (and, as it turned out, graded on a generous curve). First two assignments required some mathematical sophisication and stressed understanding more than brute force. Last two assignments required learning OpenGL. That for me was overwhelming in the beginning, but once I learnt the basics (they're plenty of sample programs online), it started to be really fun and creative. Overall, I highly recommend this class.
Workload:
Workload is highly dependent on the student. The final project was a video game; you could go overboard and make something that resembled Quake 3 (which was written in OpenGL). Due to the huge flexibility, if you have no moral difficulty with doing the bare minimum to satisfy the requirements, the overall workload should be slightly below average for an upper-level CS class."
WCOMS4160,"Feiner, Steven","Interesting material but presented in a very confusing manner. Will someone explain to Feiner how to use Visio and Powerpoint so that no other student has to put up with his badly drawn overhead slides, he does also teach User Interface Design. Very confusing and extremly poorly written programming assignments that the majority of students have no idea how to tackle. TAs are swamped with questions. Makes disparaging remarks in class about those who do poorly in midterm.
Workload:
3 programming assignments (poorly written) 1 final project (very difficult and is based on one's perfect solution or lack of a solution on third project) midterm and final are both 75 minutes."
WCOMS4160,"Feiner, Steven","A mediocre lecturer who takes a lot of time to confuse you, instead of doing it quickly like other comp sci profs. At least, that was my impression until I stopped going to class. His lateness policy is a breath of very cool fresh air -- thank god, because the assignments themselves are poorly designed and students are ill-prepared for them. Like in some other comp sci courses (ahem, OS), you get the feeling that the professor and TAs started out with very ambitious assignments that they were going to prepare students for -- until they forgot to do the preparation part. But even that may be being overly generous, because the net result is inexcusable: students have no clue how to approach the programming, and TA office hours (again, so much like OS and other high-level CS classes) turn into unofficial cheating sessions where beleagured TAs have no choice but to disseminate crucial information (that the rest of the class doesn't get). I don't know if Feiner and his TAs even realize how much potential for learning gets thrown out in the process. And while there may be worse professors in the department, that doesn't make Feiner good. The bottom line? Steer clear.
Workload:
About 5 large programming assignments (large in frustration and time-consumption, not in excessive educational value). Midterm and final that (are we used to this yet?) evaluate primarily whether or not you take tests well, and secondarily whether or not you watched the course videos on fast-forward the night before."
WCOMS4731,"Nayar, Shree","I can see why people like him, but the material is extremely difficult, beware!
He makes lectures interesting and funny, but he glosses over important concepts and you never feel like you understand anything until the difficult midterm and final come around. You'll have to study your ass off just to pass.
The programs are a lot fun. They take some thinking, but overall they're well-structured and very useful. The theory questions on homeworks are impossible.
What's very unfair about this course though is that you can't recover from a single bad grade on anything (hw, midterm, or final). A single mess-up will glare at you on your final grade, not to mention that the curve is very small. The difference between letter grades is very slight, only a few points will be bump you up from a B+ to an A (notice there's no A-). But only a few points will drop you down from a B+ to a B-.
Unfortunately he grades strictly by the numbers, and no amount of asking questions in class, going to office hours, or demonstrating grade improvement throughout the semester will factor into your final grade. He has no problem setting the average to a low grade.
Workload:
5 homeworks (they get easier over time)
1 midterm (impossible)
1 final (difficult)"
WCOMS4731,"Nayar, Shree","Professor Shree Nayar is the best professor I met at Columbia. The course is very informative. He gives great lecture with a sense of humor. The TA are very helpful. The assignments are not that hard but yet gives you a sense of how things really work.
I highly recommend this course to anybody who has interest in vision/graphics. It's a must for students in vision/graphics track.
Highly recommended.
Workload:
Not bad. The assignments are getting easier after the third one. But you need to spend lots of time on the slides to make sure you really understands the materials.
Final and midterms are well organized."
WCOMS4731,"Nayar, Shree","Professor Nayar is tied for my favorite professor. The main reason I believe he is so good is because he conveys material in an extremely concise, understandable and well-spoken manner and really knows the subject inside-
out. He is also very approachable in person and makes an effort to know students on some basic level.
The only thing that was a little weird about the vision class was the lack of math -- it was all in the slides but there is essentially no math in the entire class, which is in sharp contrast to the textbook. In addition, the first homework is pretty ridiculous in many ways and shouldn't be considered as a measure of the class' overall worth.
Programming assignments are engaging, and exams are very fair. Prof. Nayar makes use of the entire spectrum of scores on exams, and I feel gives proper questions to let those who understand subjects thoroughly to stand out. The one complaint about them is that he does not even give a format for the exam, let alone sample questions -- this was very nerve-wracking for me personally but it ended up OK in the end.
Workload:
The workload for the class is VERY front-heavy, so just get down and dirty early to enjoy the freedom from work at the end of the semester. It can definitely be a more difficult workload, but not too bad."
WCOMS4731,"Nayar, Shree","Prof Nayar is a natural. He is clear and cogent and drives all the relevant points home. Be sure to hang on to every word he says, because its generally very deep. If possible, make notes on top of the slides he gives, they make it easier to understand them when you study for the exam. This is a no-nonsense course, only relevant stuff is taught. Therefore, read the slides very thoroughly. Its not much to read, compared to the Horn book which is quiet abstruse. The class is a great learning experience. Particularly because of the simplicity that Prof Nayar brings to it. If you ever have anything remotely close to Vision take this class. If you don't, take it to experience what a great teacher is like.
Workload:
5 assignments. If the first freaks you out, hang in there, things just get easier. Overall assignments are easy. The slide handouts are all you need to prepare for the exams, and yes, some presence of mind."
WCOMS4731,"Nayar, Shree","I loved this course. Professor Nayar is an excellent lecturer. He provides the class with handouts containing almost every slide he uses (yes, he uses slides on a projector, which is usually a bad sign, but he pulls it off well)... over 400 pages per student across the term. This minimizes how much you have to take down in terms of notes, and allows you to spend more of the lecture making sure you understand, rather than copying down diagrams.
I have to agree with the previous review: Professor Nayar's digressions are always interesting, and regardless of whether they help understand the material, they help understand the motivations, or how vision works in humans.
It's not an easy class, but if you come to lecture all the time and pay attention, you shouldn't have trouble with the homeworks...
the midterm and final may be a different matter though. However, the professor and TAs are very helpful in office hours.
Workload:
The homeworks aren't so bad... 5 or 6 of them, and I found that the programming actually got easier as the term went on (after the third homework). However, the midterm and final were... insane, I thought. The best study advice I can give is: If you think there's no way it'll be asked, memorize it."
WCOMS4731,"Nayar, Shree","Excellent course taught by an excellent professor! The course revolves around the idea of teaching a computer to extract information from visual images, such as the position of an object, the position of edges, shape/depth of a scene from multiple images. Some of it will make you rethink the many things we as humans take for granted, and Shree likes to insert pertinent biological/philosophical/tech-biz tidbits that encourage an appreciation for the material beyond a purely CS perspective. The underlying theory could potentially get very mathematical, but Shree avoids that and focuses instead on the general ideas and principles. In sum, the subject material is interesting, challenging at times but rarely impossible. As a teacher, Shree is one of the best out there. He is entertaining, funny, and very dedicated to making sure we learn. He is also a very effective lecturer with excellent presentation. So, although he is quite a busy man (a lot of conferences to attend) and had the TAs teach a couple of classes, I feel that we learnt more in his classes than usual. All in all, a great experience and highly recommended.
Workload:
5 HW assignments, each of which involves both writting exercises and 3-5 programs. Programs can be challenging, but again there's nothing impossible. Shree and the TAs are very helpful. If you keep up with the class and don't procrastinate, you will be fine."
WCOMS4203,"Gross, Jonathan","Quick note: This class is most definitely a mathematics course. There are basically no concrete applications of the material covered and certainly no programming involved.
Prof. Gross is arguably the most idiosyncratic professor you'll ever meet. And that's definitely a good thing. His lifelong love for topology and graph theory (and their intersection) is clearly evident in his lectures, in which he wanders off into reminiscing about his early mathematical career and some tidbits from math history and algebraic topology. This ""sidetalk,"" as he calls it, makes the class more interesting and is, as a result, an integral part of the course. Integral.
Gross's lecturing differs from other practitioners of the overhead-projector style because the projector doubles as a slideshow of ever-evolving course notes and a whiteboard in which he goes through examples with the class. This is probably because he has walking problems (he comes into class wearing sneakers and holding a cane) and the fact that Graph Theory is a CVN course. I wasn't really able to appreciate his usage of the projector in Discrete Math because it didn't seem necessary (small examples, mostly numerical manipulation), but once we hit graph enumeration, it became clear why Gross preferred the projector: it's basically impossible to fully draw examples otherwise.
The course is by no means an easy course like the pre-req Discrete Math. While the graph theory section of Discrete Math was limited to basically one type of problem (""find a Kuratowski subgraph""), this course requires much greater ingenuity. The homework assignments' problems range from trivial input-numbers-into-formula questions to somewhat difficult proofs, and the tests are filled with mostly the latter. While the homework sometimes feels like a drawing exercise, the tests are filled with original and clever problems.
I felt that the breadth of the material covered in this course was especially exciting, though keep in mind that this makes the course go at a very fast pace. But just keep up with Gross, because it's totally worth it.
Workload:
Six assignments dropping the lowest. Three open-book exams of equal weight, but no final."
WCOMS4203,"Chudnovsky, Maria","I was terrified of Maria after reading the two reviews about her on CULPA. In my experience, she is nothing like that. She is not only an amazing mathematician, but a charismatic, compassionate, and funny person. I was scared to take the class because I was the youngest student in the class, and she was very kind and helped me work through issues that were probably rudimentary. She probably realized that I wanted to work to do well in the course, and that is why she supported me.
If you get a chance to take a class with her, I would highly recommend that you do so. She is currently one of the most illustrious individuals in her field, and can elucidate the beauty hidden within graph theory.
Workload:
Approximately one homework assignment per week. These start off easy, but get progressively difficult--not impossible though. 4-5 problems, all proofs (I think we had maybe 2 problems all semester that were just applying an algorithm, but the rest were all proofs). The grade is 50% homework assignments and 50% final take-home exam (cumulative, 7 problems)."
WCOMS4203,"Gross, Jonathan","Jonathon Gross is a funny guy... he has random moments that will make you laugh, at least the first time he tells the joke (he will point out that he retells jokes... he will even tell you multiple times that he always retells jokes... this man is brilliant but his memory is not what it used to be).
If you're paying attention and you get what's going on, you'll be fine. If you're a math major, you'll be fine. However, if you don't, you'll fall back quickly. He goes through the first few chapters quickly, since most everyone has seen that kind of stuff. And then he goes at a slower pace for everything else... but it's still very fast. And if you stop paying attention for a little bit, you'll find yourself wondering what he's talking about, why he's saying that point x cannot be mapped onto point y and what the hell a cellular imbedding is. But, he teaches straight out of the book, which is good and bad (bad cause it's boring, but good cause you never have to take notes).
Final note: this class doesn't get into any algorithms, i.e. you won't be able to write any sort of computer program using graphs after taking this class. It lays the groundworks for you to learn this kind of stuff on your own, but that's it.
Workload:
7 homeworks, with 1 dropped; 2 midterms, 1 final. Final grade = .25*(hw+mid1+mid2+final). The homeworks aren't that bad, just ~10 questions each, with some being straightforward and others requiring you to look at the problem and get an 'a ha' moment two days later. So, not that hard, but don't put it off until the day it's due. Although, you get 5 total late days to use on homeworks. He provides practice midterms/finals--DO THESE before the test, otherwise you could be taken by surprise (although he changes the focus sometimes, e.g. we had a basic network flow on our midterms which weren't on the sample ones). Overall, not that bad."
WCOMS4203,"Gross, Jonathan","Gross is an American hero. Wandering into class every day to give a one-hour lecture, straight from his (excellent) textbook, peppered with clever jokes. I don't know how our Computer Science department managed to hire him, it must be before they started hiring the least qualified people they could find.
I agree with the reviews below -- if you don't pay attention at the beginning of class, you will die. Otherwise, it's pretty straightforward... but the language gets technical very very quickly, and you'll find yourself flipping into the text every third word if you weren't paying attention.
Highly recommended!
Workload:
Fair -- something like... seven homeworks, all of which are time-consuming but doable. Exams are open book and open notes, and tend to be pretty easy if you've been paying at least decent attention."
WCOMS4203,"Gross, Jonathan","This class was one of the best I've ever taken. The lectures were always fun, as Dr. Gross has a great teaching methodology and quirky sense of humor. Class generally consisted of working through the pre-distributed course notes (the majority of the time) and solving several problems (the last 10-15 minutes). He also threw in historical notes and occasionally a crazy story or two about some of the more famous graph theorists/algebraic topologists (many of whom he has worked with directly). The course notes basically re-packaged the material from the book (excellent, by the way, and co-authored by Gross himself) into a lecture-friendly format. My advice would be to read the relevant chapters in the book before class.
The six problem sets were generally difficult and time-consuming, but they will drill the material into your head. Perhaps more importantly, the problems will teach you how to think like a computer scientist. Some of the topics in graph theory have few real-world applications, but they train you how to attack and solve complex problems in mathematically rigourous ways (which is much more important than any application). In any case, Dr. Gross and the TAs (Josh Reich and Lawrence Hon) held plenty of office hours and were always very helpful. The tests were difficult, but he said they were designed to have mean of about 60 and were curved accordingly. Also, the tests were open book/note/whatever.
My only caveat is that graph theory is a somewhat fragmented subject with its own peculiar dialect. Dr. Gross has an amazing command of the material (and the dialect), so, while his explanations are always excellent, you must undertstand his language or it'll sound like gibberish. Don't slack off in the first few weeks; if you master the early material, you'll be in good shape when the more advanced subjects come in.
Overall, I highly recommend this class.
Workload:
Six problem sets, usually of six questions, of which two were ""gimmies"", two were of average difficulty, and two required significant insight/intelligence/work. Two midterms (above average difficulty); non-cum final (slightly easier than midterms). All exams are open book/notes."
WCOMS4203,"Reich, Joshua (TA)","Josh is one the best TAs of all time. He has a superhuman command of the material, holds tons of office hours, and has a real passion for teaching. Unlike the majority of TAs, who simple don't care about you or the class, Josh wants you to learn the subject, and he will go to great lengths to see that you do. At the same time, if you are really stumped by a particular proof or problem (on which you can literally spend *hours* and get nowhere), he will take pity on you and walk you through the answer, so you can move on with your life/problem set."
WCOMS4001,"Shortliffe, Edward","(Note: my opinion is from the perspective of a CS major, not a premed / BME / BINF student.)
This course is a valid CS technical elective, but it's about as ""technical"" as Music Hum. The only use of a computer for this course is to type the weekly homework assignments, which are all essay questions. The course introduces you the various applications of IT to medicine, especially the hospital environment. Topics include electronic patient record systems, biomedical imaging, electronic order form, and disease classification standards. Each topic is covered by a different professor from Columbia's uptown campus; Shortliffe himself handles 5 lectures or so.
The material is quite interesting in a hands-on way--you get to see how the CS stuff you learn gets applied. As such, it often involves brief, simplifying revisits the traditional CS classes, e.g. Database and NLP and Computability. On the other hand, it also involves a lot of medical jargon unknown to CS students, which make up half the class. Although Shortliffe said that the course does not assume any prior exposure to medicine, the lecturers (again, med school profs) tend to forget that. But perhaps this is only fair, since the medicine people tend to find the CS stuff hard to grasp.
The class also touches upon social and political issues like privacy issues and Medicare, as well as the theory and history behind Biomedical Informatics as a distinct academic field. Overall, a palatable salad of things and a nice escape from programming.
Workload:
Weekly written HWs, about 2/3 pages each, check or no check. A comprehensive OPEN BOOK written final. Not terribly difficult, but the CS student may find giving opinions (as opposed to right/wrong answers) and the whole medical nomenclature vague and unfamiliar. Also, the BINF graduate students take the class very seriously, thereby screwing up the curve. You need to work towards a good grade, but this class is suitable if you like writing, if you like to see some real-life applications of your CS knowledge, or if you don't care about your grades (this is the only CS class in which you can b.s. your way to a pass)."
WCOMS4236,"Servedio, Rocco","DEFINITELY the BEST professor I ever had at Columbia. At the same time, he was definitely the HARDEST professor I ever had at Columbia. I took computational complexity last semester and it was the hardest class I had taken. However, because he was such a great professor, I decided to take computational learning theory, and now i can say that that is the hardest class I've ever taken. However, if you're not afraid to face the challenge, you will find that he is an excellent teacher, and you will definitely learn a lot. I definitely don't consider myself a very motivated learner, but I think the hard work was worth it for these classes.
Workload:
The styles of the problem sets were very similar in both classes (even though they pertain to very different subject matter). In either class, you will have biweekly problem sets which will each probably take you several days to complete. They consist of about 6 problems, and they are definitely not easy. Your homeworks are to be typed up in LaTeX, and just to give you a general idea, mine averaged something like 7 pages each. Computational complexity had 7 problem sets and a take home final which was basically just another problem set weighted heavier. Computational learning theory had 5 problem sets and a final project, which is yours to come up with."
WCOMS4236,"Servedio, Rocco","BY FAR the best professor I have had at Columbia. His lectures are very ogranized and he really makes an attempt to explain everything. He is a sincerely nice guy and actually cares whether or not his students understand the material. Some of the stuff covered in this course is really complex, but he is able to break it down to make it more understandable. He likes when students ask questions in class and he really tries to make sure he answers them sufficiently. He tries to get to know the names of all his students. His office hours are really helpful...they were always packed when I took this class. In a nutshell...this guy is awesome.
Workload:
Pretty crazy. 6 problem sets. They were all pretty hard but the last one was insane. Take home final which was relatively easy."
WCOMS4236,"Tsantilas, Athanasios","Pretty good course, considering you enjoy this material. His lectures are pretty good and material is presented in an interesting way. Some of the homework problems are pretty difficult, but doable. Grading is pretty good too. The only complaint is don't expect too much help outside the classroom. He pretty much ignores questions sent to him and doesn't seem to care too much outside the classroom.
Workload:
problem set every 2 weeks, midterm, final."
WCOMS4252,"Servedio, Rocco","A really fun class. As other reviewers have already pointed out, Prof. Servedio gives the clearest, best-organized lectures in the department---he made a large body of complicated theory totally intelligible.
The format of the class is nice: no exams, just a few problem sets and a final project. His argument is that the insight necessary to solve most of the problems in this class doesn't come right away even if you have a solid understanding of the material, so a test isn't a fair evaluation. This was certainly my experience---I felt like I had a better grasp of the theory than most of the class (this is judging by the pset averages: as so often seems to happen in this department, the undergrads inevitably outperform the grad students) and I would regularly spend hours staring at the homework assignments without making any progress.
Prof. Servedio was also extremely available outside of class, and was extremely helpful in suggesting references and proof techniques for my final project.
Some advice: as soon as every problem set comes out, take an hour or so to just think about the problems without any expectation of solving them. Your brain has this marvelous ability to process subconsciously, and you'll find that if you return to the pset in a few days you've already made a great deal of progress without reading this.
In short, if you're in either the theory track or the AI track, this is a fun, low-stress (but not low-workload!) class that will do wonders for your development as as a computer scientist.
Workload:
Not too much on paper, but be prepared to spend a loooong time on problem sets and invest a decent amount of time in your (12-ish page) final project."
WCOMS4252,"Servedio, Rocco","Prof. Servedio's very good, gifted even, at explaining section a.b.c through to x.y.z of the textbook. His lectures, notes, and problem sets are high quality, better than those found elsewhere on course websites at CMU or UT Austin. So you will learn something or even a lot but is the right thing and is it worth taking for credit? No.
DO NOT think that taking his learning theory course is of help in machine learning or data mining courses. I did well on the latter without needing or being able to use ANY of what I learnt here.
His style is lemma, proof, lemma, proof and a large fraction of the time is spent on proof minutae at the cost of developing re-usable big picture ideas or connections to topics in machine learning. This fatal flaw in his presentation also results in a poor breadth of topics covered.
Once I asked Prof. Jebara a question and he replied ""That comes from the PAC model"" or such. Imagine your frustration at spending a 20 hr/week semester learning the PAC model in this course but not being able to relate it or apply your knowledge. Do not think that you can get help at that point because the standard response is ""take Prof. Servedio's course"".
It's my belief that he's on a personal crusade against grade inflation and tries to actively deflate your grade:
1) The solutions to the assignments are deliberately written poorly. You'll soon give up on trying to learn where you went wrong and may miss key ""tricks"" or key conceptual points in solving problems in general. This is quite devious because a lot of important course material is left to the assignments to develop and it's hard to improve your problem solving ability on future assignments. The only reason I can think of why anyone would do this is to prevent copying/selling of materials. The course staff should consider having a 30 minute recitation to go over the solutions if they are paranoid (or you should ask during office hours).
2) There is no feedback on average/median/max/min and marks distribution for any assignment. Make SURE you specifically ask for this to judge your progress and calibrate your effort. It's easy to get blindsided and find out that there are 10 students who have scored near perfect on every assignment or 70% of the class has the same average.
3) He takes the view proofs are either completely right or wrong, the latter gets you a 0 with unpredictable partial credit. Nothing infuriates you like a 0 on something you spent 6 hours crafting because you missed a minor detail. It feels like a penalty on attempting to solve the problem. Expect this to happen a lot and do not underestimate the effect on your motivation.
4) The grading system is ill-conditioned (e.g. 84-86 = A, 79.5-83.99 = A-,..) therefore I feel that your grade precariously hangs on his impression of you.
Based on the above I would have serious doubts about taking another one of Prof. Servedio's courses for credit. Definitely do not take his learning theory course if you're not a Phd student in theory. If you're aiming to become one I suggest you take a computational complexity course or algorithms/optimization/math courses as this course will not help you in the future.
Workload:
Based on self audit, varies from 18 to 22 hrs a week spent on 5 Problem sets = 70% of grade. 40+ hrs on a 10 page Final Project = 30% of grade is a survey of literature related to a topic (given on website and can get help from him regarding sources). Final project is tough because a lot of startup time is required to translate the notation and learn higher math that is frequently assumed. Topic selection is very crucial for success."
WCOMS4252,"Servedio, Rocco","Rocco Servedio is absolutely the best professor in the computer science department. He exhibits a level of competence and clarity that is a refreshing change from the general level of instruction at the Columbia CS department. He makes a complicated subject seem crystal clear, and the class never (amazingly), ever is boring -- The 75 minutes are over before you know it. Even the problemsets are a joy to complete -- and they are difficult.
If you can, absolutely, positively, definitely, without question take a course with this man.
Workload:
Biweekly problem sets (that you should expect to devote many hours to) and a final project (Paper and presentation). No exams."
WCOMS4236,"Servedio, Rocco","DEFINITELY the BEST professor I ever had at Columbia. At the same time, he was definitely the HARDEST professor I ever had at Columbia. I took computational complexity last semester and it was the hardest class I had taken. However, because he was such a great professor, I decided to take computational learning theory, and now i can say that that is the hardest class I've ever taken. However, if you're not afraid to face the challenge, you will find that he is an excellent teacher, and you will definitely learn a lot. I definitely don't consider myself a very motivated learner, but I think the hard work was worth it for these classes.
Workload:
The styles of the problem sets were very similar in both classes (even though they pertain to very different subject matter). In either class, you will have biweekly problem sets which will each probably take you several days to complete. They consist of about 6 problems, and they are definitely not easy. Your homeworks are to be typed up in LaTeX, and just to give you a general idea, mine averaged something like 7 pages each. Computational complexity had 7 problem sets and a take home final which was basically just another problem set weighted heavier. Computational learning theory had 5 problem sets and a final project, which is yours to come up with."
WCOMS4252,"Servedio, Rocco","Truly, one of the VERY BEST professors I've had at Columbia (I'm a CS senior)--the whole school, not just the department. Both super intelligent and very capable of transmitting his knowledge to students (I heard he won a lot of accolades for teaching back at Harvard.) His lectures are very well-organized, and he recaps key concepts every time to ensure students follow. Rocco is also a very nice and approachable guy, always encouraging and answering questions in or out of class.
The subject material is very, very interesting. It is also very abstract and may be difficult for those who are not well-versed in CS theory and math. All the HW questions are proofs.
His problem sets are challenging and take a lot of time. But I think it is worth it. If you care about learning (he certainly cares about teaching) and are willing to work hard and think a lot, you will definitely enjoy this class.
Workload:
6 difficult biweekly problem sets (I'm rather weak in math/theory, and each HW takes me a good few days of on-and-off thinking and writing plus TA help. Bottomline: don't start the night before.) Also a final implementation project."
WCOMS4261,"Malkin, Tal","A pretty good class. Prof. Malkin makes a point of offering both conceptual and formal treatments of the material, which in principle is nice (as just about every result in crypto is deeply counterintuitive); in practice, I found her lemma-proof-theorem teaching very clear, but the high-level explanations so vague as to be practically useless. Part of the issue was that a large portion of the class didn't really have the mathematical maturity necessary for this course, and she would get bogged down answering basic questions and then have to rush through material. She got better at this (i.e. stopped answering stupid questions) as the semester went on, but it remained frustrating throughout.
Homework assignments were well-designed. Fernando (the TA) was a real stickler for rigor, and I definitely learned to be more careful about writing up proofs by the end of the semester. Midterm (in class) and final (take home) were both trivial; I don't know what the final average was, but due to the aforementioned mathematical maturity problem midterm scores were shockingly low.
As a side note, this can be a great class even if you're not specifically interested in security. I was in learning theory at the same time, and my final project for that class relied on a bunch of cryptographic hardness assumptions---this is about a lot more than secret codes.
Workload:
Light. A problem set once every couple of weeks that usually took me 2-3 hours (including typesetting). Don't cut corners on your proofs."
WCOMS4261,"Malkin, Tal","If you don't your remember probablity and other math from Algorithms then don't bother taking this class because you'll get killed. In other words, don't ignore the prerequisties for the class because the Prof. will assume that you're comfortable with all the concepts that she listed on the class website. Her lectures are not that good and neither is her handwriting. Fortunately, she makes everybody participate in this thing where in each lecture a student is chosen to take notes for the class. The student is then responsible for converting the notes into LaTeX or PDF and share it with the rest of the class. There are 6 homeworks and one final exam. The homeworks are pretty long so start early. They'll require you to do some mathematical proofs, encryption scheme design, and other theoretical stuff. Take this class only if you're really interested in Cryptography.
Workload:
6 hard homeworks, one final exam"
WCOMS4111,"Gravano, Luis","Professor Gravano is definitely one of the best professors I've had. His lectures are clear, precise, and occasionally humorous. He's very receptive to questions in class and often responds to questions both via e-mail and the discussion board, which is rare in my experience.
He uses slides (available online) for much of the introductory portion of the course, but often switches to the blackboard to work out particular examples. The latter half of the course was taught almost entirely on the blackboard.
Corresponding book sections are listed for each lecture, but going to class or having a friend to take notes for you is important, as he sometimes he covers more or less material than is presented in the corresponding book chapters. The textbook (Ramakrishnan + Gehrke, 3e) is quite good, despite the many reviews you'll find online saying otherwise.
While you will get a project mentor for your two projects, in reality there will be very little interaction with the TAs unless you seek it.
Workload:
4 equally-weighted homework assignments (15%)
1 large project + demo (15%)
1 small project (5%)
1 midterm (25%)
1 final (40%)
The homeworks are light and occasionally add to the concepts covered in class. Projects are done in groups of two. The first project has multiple phases and takes place over a large span of time. The second project is short.
The majority of the class obtains perfect or near-perfect marks on the homeworks and projects. The exams will be the differentiating factor."
WCOMS4111,"Biliris, Alexandros","Yes, his command over English is not the best. Yes, he does take digs at what students say if he doesn't understand them. But overall I wouldn't describe Biliris and this class as awful. His lectures are 2.5 hour long rambles, but not without comical interludes. His jokes are often funny, and he gives a ten minute break in the middle of class, which often extended to fifteen. Having said that, you can manage even without ever going to class, so apart from the few jokes there's very little value addition by his lectures.
The class material itself is interesting. It c, ould have been presented better (He reuses slides from several years ago, and doesn't even change the semester in the footer), but he has his limitations in teaching ability, and so you just need to make do with it. The four homework assignments are fairly easily. The projects can take time, but if your partner isn't completely lost, you can divide up the work and finish it over the course of a night. The exams are both fair, but of course, there's thinking involved, so it's easy to panic if things aren't going your way.
If you're not a CS major, I'd recommend to buy the book. His lecture slides are essentially a summary of the book, but there are some concepts that aren't very clearly explained in his slides. If you were sleeping in class (or absent, like I was), the slides will be of very little help in such instances.
I can't say whether Biliris genuinely cares about this class or not, but he definitely gives the impression that he cares about the students. In our first class, he announced that we could call him up at any time before 11PMexcept if we were going through a breakup, in which case he said feel free to call me even after.
In summary: his lectures are pointless. But he's a nice chap. His material is interesting. The workload: not too bad.
Workload:
Four homework assignments - the first couple take 3-4 hours maybe. The third and fourth are shorter.
Two projects - done in pairs.
One midterm and one final - both fair.
Three grace days for assignment submissions and three for projects make life much better."
WCOMS4111,"Biliris, Alexandros","Absolutely awful. His lectures are boring as shit and he doesn't actually realize that a 2.5 hour class can be taught in more than 8 powerpoint slides (literally). For some reason, he's obsessed with Barbados too and won't stop talking about it.
But now onto the real stuff:
Don't bother going to class. Read his lectures that he posts online (takes about 30 min) and save yourself the other 2 hours. I can't stress enough how useless his lectures were. It's basically like taking a class online, you just have to show up for the midterm and final. The material is actually extremely useful and somewhat interesting.
Luckily though, the material is easy and there's not much of it. There's a grand total of 10 short lectures (only 9 of them are tested on), compared to other classes that have about 25 a semester. The average won't be that high because you're with a bunch of IEOR majors and grad students that don't know how to program. The 4 homeworks can be tricky at times, but honestly not too bad.
The group projects are relatively easy and straightforward. You just have to demonstrate that your projects contain every concept that was taught in class, regardless of whether or not your Database schema will benefit with it (i.e. Aggregation is great in theory, but NOBODY puts it into practice in their database. it makes things painfully redundant and difficult. but since we learned it in class, you'll lose a substantial amount of points if you don't have aggregation in your database). Don't bother making your project look pretty or have much functionality. As long as you demonstrate the concepts that were in class, you'll get full credit. The median on project 2 was 49/50, if that says anything to you.
You have a total of 6 late days, 3 for the individual homeworks, in total, and 3 for the projects, in total. So clutch.
Midterm and final are straightforward. If you know relational algebra, SQL, and the concepts, you'll do fine. And let me remind you, DON'T GO TO HIS LECTURES.
Workload:
4 homeworks
2 group projects
1 midterm
1 final
(all reasonable)"
WCOMS4111,"Biliris, Alexandros","Where to begin...
1) This class was useless. Biliris is a mediocre lecturer and an incompetent teacher (or he just wasn't trying). His lectures were a complete waste of time. He would crap on and on about some simple concept in the most unintelligible way for an hour at a clip. I can honestly say that I did not learn anything substantial from this class. By the sixth week half of the students did not show up or left at the break. By the fourteenth week it was more like 80%. The material was presented with no context and no depth. I could have taught this class better than he did, and I do not have near the amount of database and teaching experience as he does.
2) I ended up doing all of the group work by myself because my partner was so lost. I cannot blame him considering the lectures were essentially black holes. If I had not had database experience prior to this course I would have probably been as lost as my partner, who had none.
3) A bit of the material was out of date. This happens in CS classes often, but it was particularly bad in this class. I think the textbook we were using was from 2003.
4) We were forced to use Oracle for our projects, which was a nightmare. Oracle is one of the most bloated and hard to learn database systems around. Why we would use Oracle and not MySQL (very popular, modern, and easy to use) is beyond me.
5) Biliris does not understand English well enough to teach a course. He can hold a conversation, but he cannot explain complex ideas. He did not understand questions asked by students and he often hid this by making fun of them.
6) The grading in this class was ridiculous. Often points were taken off if we did not answer a question exactly how the TAs thought we should have, despite those requirements not being specified in the assignment description. Each homework and test problem was graded by a different TA, which meant you had to contact many TAs if you had questions about more than one problem. This was incredibly inconvenient.
7) My assigned TA had worse English skill than Biliris, which made him useless to me.
Workload:
There were two projects. The first is pretty substantial and took some time, but was by no means difficult. The second could have been done in a few hours if Biliris actually ever mentioned PL/SQL during the lectures.
There were four homework assignments. Some were a bit challenging, but all were mostly irrelevant when it comes to actually learning something useful about databases.
A midterm and a final. I have yet to take the final. The midterm was not hard, but the questions were as irrelevant as the homework problems."
